TT	PID	AT	CT	IO_D	WT	RT	TRT
9	3	5	3	3	2	4	5
10	9	9	2	8	0	0	2
20	10	9	11	4	1	3	12
21	6	7	6	0	9	9	15
21	302	20	1	0	2	0	2
21	301	17	4	0	2	2	5
24	21	20	1	0	4	1	5
25	26	25	1	9	0	0	1
28	4	5	18	6	6	17	24
39	43	36	4	0	0	0	4
48	23	23	7	12	19	24	26
50	18	19	25	9	7	1	32
50	24	24	15	7	12	0	27
50	309	43	7	0	8	0	8
57	13	13	45	0	0	0	45
57	57	50	8	3	0	0	8
60	31	29	6	3	26	4	32
64	303	24	31	0	10	10	41
64	315	50	14	0	15	0	15
64	310	44	20	0	21	0	21
65	34	31	25	4	10	1	35
66	19	19	19	4	29	3	48
69	25	25	33	0	12	12	45
77	1	2	40	8	36	29	76
77	307	31	26	0	47	0	47
77	308	38	19	0	40	0	40
78	305	27	32	0	20	20	52
78	313	47	31	0	32	0	32
78	314	48	30	0	31	0	31
81	72	63	8	9	11	4	19
82	36	32	46	0	5	4	51
84	80	71	1	0	13	13	14
84	15	14	17	0	54	10	71
90	306	29	26	0	36	36	62
90	319	69	21	0	22	0	22
90	320	74	16	0	17	0	17
93	5	6	42	0	46	1	88
93	304	27	21	0	47	47	67
95	11	13	39	5	44	8	83
97	50	43	47	0	8	12	55
97	317	58	32	0	40	0	40
97	316	56	34	0	35	35	42
100	2	4	41	9	56	11	97
101	56	49	9	0	44	8	53
101	78	70	29	1	3	0	32
104	311	45	11	0	49	49	60
104	324	100	4	0	5	0	5
111	51	43	46	13	23	23	69
119	126	111	9	9	0	0	9
120	87	76	43	7	2	29	45
128	144	127	2	11	0	0	2
135	100	92	23	0	21	21	44
135	122	110	17	7	9	10	26
135	334	132	3	0	4	0	4
138	109	100	39	1	0	0	39
140	63	56	11	8	74	42	85
141	318	64	22	0	56	56	78
141	114	105	34	0	3	3	37
141	330	122	19	0	20	0	20
141	332	128	13	0	14	0	14
146	329	115	28	0	4	4	32
146	333	130	16	0	17	0	17
146	331	128	18	0	19	0	19
147	96	89	9	0	50	7	59
148	326	108	10	0	31	31	41
152	177	152	1	4	0	0	1
158	338	149	9	0	1	1	10
158	84	74	40	5	45	47	85
158	337	148	10	0	11	0	11
160	104	95	15	3	51	19	66
162	328	111	12	0	40	40	52
165	14	13	42	7	111	3	153
168	143	127	31	11	11	2	42
169	119	109	18	8	43	6	61
171	325	105	13	0	54	54	67
171	58	51	4	0	117	69	121
171	340	166	5	0	6	0	6
176	159	139	14	0	24	33	38
178	167	147	31	15	1	28	32
180	160	140	41	0	0	0	41
193	108	99	21	3	74	78	95
195	152	135	23	0	38	38	61
195	342	173	22	0	23	0	23
195	345	180	15	0	16	0	16
202	178	152	17	4	34	1	51
204	148	132	34	0	39	12	73
204	349	201	3	0	4	0	4
205	193	176	30	9	0	0	30
207	168	147	29	0	32	32	61
207	343	179	28	0	29	0	29
207	346	188	19	0	13	13	20
207	344	180	27	0	16	1	28
212	76	69	13	0	131	73	144
214	339	152	30	0	33	33	63
214	350	206	8	0	9	0	9
214	348	191	23	0	24	0	24
216	91	81	7	12	129	1	136
218	209	195	2	10	22	22	24
225	162	142	22	6	62	64	84
226	217	213	9	0	5	5	14
226	184	159	50	10	18	12	68
227	341	171	11	0	46	46	57
228	233	223	6	0	0	0	6
229	195	178	46	5	6	51	52
231	35	32	16	0	184	184	200
232	98	92	30	8	111	47	141
233	214	207	4	2	23	24	27
234	115	107	21	2	107	52	128
238	336	142	29	0	68	68	97
238	358	231	7	0	8	0	8
238	360	235	9	0	4	0	4
238	356	227	11	0	7	7	12
238	359	234	10	0	5	0	5
240	211	201	38	0	2	2	40
240	82	72	31	12	138	15	169
240	182	159	35	0	47	47	82
240	353	217	23	0	24	0	24
240	355	222	18	0	19	0	19
241	131	117	36	10	89	30	125
244	335	139	17	0	89	89	106
244	39	35	23	6	187	1	210
244	158	138	31	3	76	34	107
246	327	109	34	0	104	40	138
246	363	245	1	0	2	0	2
247	323	90	30	0	128	52	158
247	101	93	10	7	145	49	155
247	357	230	17	0	18	0	18
251	181	159	43	2	50	11	93
251	321	82	4	0	166	166	170
251	245	236	4	0	12	12	16
251	361	242	9	0	10	0	10
254	312	45	14	0	196	60	210
254	102	94	39	9	122	1	161
257	232	223	2	3	33	33	35
258	62	55	20	5	184	87	204
258	44	37	35	5	187	5	222
261	200	181	10	0	71	71	81
264	154	136	38	1	91	69	129
266	272	263	4	0	0	0	4
267	273	263	1	3	4	4	5
268	204	188	31	2	50	63	81
269	265	254	5	1	11	12	16
269	368	268	1	0	2	0	2
271	117	107	20	6	145	148	165
272	174	152	32	0	89	89	121
278	364	254	20	0	5	5	25
278	373	271	7	0	8	0	8
278	370	268	10	0	11	0	11
280	284	280	1	4	0	0	1
283	352	215	22	0	47	30	69
291	277	269	23	0	0	0	23
296	365	255	19	0	23	1	42
296	366	256	18	0	41	0	41
302	59	52	38	0	213	31	251
302	227	219	31	0	53	0	84
303	362	243	3	0	58	58	61
303	223	217	11	10	76	8	87
304	351	206	45	0	54	54	99
304	269	261	44	11	0	0	44
304	367	266	38	0	4	4	39
304	371	269	35	0	36	0	36
304	376	301	6	0	4	0	4
305	228	220	14	2	72	72	86
307	186	162	47	6	99	43	146
308	55	49	29	0	231	203	260
310	246	238	49	0	24	27	73
312	202	184	27	0	102	102	129
312	135	120	19	0	174	27	193
313	279	273	11	4	30	30	41
314	374	274	40	0	1	1	41
317	291	289	14	0	15	15	29
326	292	291	23	0	13	13	36
326	384	325	1	0	2	0	2
326	382	315	11	0	12	0	12
332	322	84	47	0	202	168	249
332	378	309	29	0	24	0	24
332	379	309	23	0	24	0	24
332	369	268	30	0	53	41	65
332	383	320	18	0	13	0	13
336	375	298	9	0	30	30	39
336	188	167	6	1	164	85	170
336	386	328	8	0	9	0	9
336	387	331	5	0	6	0	6
337	299	300	1	9	37	37	38
338	30	28	16	6	295	57	311
338	136	122	34	0	183	126	217
339	282	278	32	0	30	30	62
340	254	241	28	0	72	72	100
341	278	269	36	7	37	37	73
342	247	238	33	12	72	7	105
344	33	30	41	2	274	21	315
348	230	222	13	5	114	41	127
348	120	110	32	5	207	81	239
350	67	57	36	6	258	21	294
356	99	92	18	10	247	80	265
367	347	188	30	0	150	20	180
367	16	14	37	0	317	84	354
367	397	359	7	0	4	1	9
367	396	353	12	0	13	13	15
368	20	20	34	10	315	2	349
375	216	212	13	7	151	103	164
377	393	350	26	0	2	1	28
377	399	375	2	0	3	0	3
377	398	367	9	0	11	0	11
380	231	222	39	0	120	120	159
381	372	271	43	0	68	62	111
381	210	196	7	10	179	8	186
381	391	339	36	0	43	0	43
381	388	334	41	0	14	1	48
381	395	352	24	0	30	0	30
383	385	328	28	0	28	1	56
383	394	350	6	0	30	24	34
383	389	336	20	0	46	46	48
384	258	245	3	0	137	137	140
387	48	42	26	1	320	201	346
388	165	146	36	0	207	99	243
389	97	89	9	4	292	10	301
390	219	213	40	0	138	130	178
391	12	13	44	4	335	12	379
395	145	128	27	1	241	45	268
397	234	224	2	7	172	18	174
397	52	45	48	11	305	39	353
399	191	171	4	9	225	44	229
401	173	152	21	6	229	42	250
403	94	85	28	10	291	79	319
410	171	151	6	14	254	17	260
411	32	29	2	6	381	187	383
411	194	176	48	0	188	157	236
411	257	244	11	2	157	14	168
413	206	192	8	2	214	47	222
415	221	217	9	5	190	1	199
416	402	397	19	0	1	1	20
416	405	399	17	0	18	0	18
416	409	409	7	0	8	0	8
417	377	305	34	0	79	79	113
417	408	408	9	0	1	1	10
417	400	387	30	0	1	1	31
417	407	403	14	0	15	0	15
417	406	401	16	0	17	0	17
418	270	262	21	7	136	43	157
418	110	103	27	8	289	45	316
418	54	48	29	3	342	10	371
422	392	340	33	0	50	44	83
422	401	394	22	0	19	1	29
422	403	397	19	0	26	0	26
422	404	399	17	0	18	18	24
423	129	113	36	6	275	50	311
427	197	179	29	1	220	66	249
429	271	262	48	6	120	5	168
436	296	296	18	13	123	31	141
438	380	309	16	0	114	114	130
438	414	436	2	0	3	0	3
441	81	72	20	7	350	167	370
442	413	430	12	0	1	1	13
442	416	440	2	0	1	1	3
442	411	426	16	0	1	1	17
442	410	422	20	0	1	1	21
442	415	438	4	0	5	0	5
442	412	427	15	0	16	0	16
444	390	337	25	0	83	81	108
445	239	231	40	4	175	102	215
449	244	235	13	2	202	98	215
450	65	56	31	0	364	112	395
450	242	235	41	5	175	104	216
453	156	137	29	0	288	111	317
456	417	445	11	0	1	1	12
456	418	447	9	0	1	1	10
456	419	450	6	0	7	0	7
457	381	313	12	0	133	132	145
457	421	455	2	0	3	0	3
457	422	456	1	0	2	0	2
462	90	79	49	1	335	2	384
463	64	56	23	12	385	48	408
465	70	60	32	0	374	192	406
466	237	228	21	3	218	86	239
470	354	217	34	0	220	106	254
470	420	451	19	0	1	1	20
470	425	469	1	0	1	1	2
470	423	459	11	0	1	1	12
470	424	465	5	0	6	0	6
475	212	203	29	8	244	25	273
479	285	282	31	5	167	36	198
481	251	240	32	2	210	210	242
487	49	42	36	8	410	9	446
488	287	283	26	1	180	3	206
493	268	257	11	13	226	40	237
499	93	85	4	10	411	83	415
501	123	110	13	10	379	191	392
502	85	74	40	5	389	85	429
505	139	123	17	0	366	3	383
512	252	241	31	4	241	92	272
517	142	126	16	9	376	37	392
519	79	70	35	1	415	20	450
521	196	178	20	0	324	206	344
529	275	267	7	3	256	172	263
529	40	35	34	9	461	220	495
540	288	286	37	0	218	75	255
